clk,clr,Q3,Q2,Q1,Q0,D3,D2,D1,D0,Q3,Q2,Q1,Q0,D3,D2,D1,D0
-,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,\bf{1},1
$\uparrow$,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,\bf{1},1
$\uparrow$,1,0,0,0,1,0,0,1,0,-,-,-,-,-,-,-,-
$\uparrow$,1,0,0,1,0,0,0,1,1,-,-,-,-,-,-,-,-
$\uparrow$,1,0,0,1,1,0,1,0,0,0,0,1,1,0,1,0,0
$\uparrow$,1,0,1,0,0,0,1,0,1,0,1,0,0,0,1,1,1
$\uparrow$,1,0,1,0,1,0,1,1,0,-,-,-,-,-,-,-,-
$\uparrow$,1,0,1,1,0,0,1,1,1,-,-,-,-,-,-,-,-
$\uparrow$,1,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0
$\uparrow$,1,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1
$\uparrow$,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0
$\uparrow$,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
$\uparrow$,1,1,0,1,1,-,-,-,-,1,0,1,1,-,-,-,-
$\uparrow$,1,1,1,0,0,-,-,-,-,1,1,0,0,-,-,-,-
$\uparrow$,1,1,1,0,1,-,-,-,-,1,1,0,1,-,-,-,-
$\uparrow$,1,1,1,1,0,-,-,-,-,1,1,1,0,-,-,-,-
$\uparrow$,1,1,1,1,1,-,-,-,-,1,1,1,1,-,-,-,-
