clk,reset_n,T0,T1,T2,end_n,load_n,offset,contagem,S0_vermelho,S0_amarelo,S0_verde,S1_vermelho,S1_amarelo,S1_verde,check
$\uparrow$,1,1111,0010,0001,1,0,0001,0000,0,0,0,0,0,0,{\color{teal}\faCheckCircleO}
$\uparrow$,1,1111,0010,0001,1,1,1110,0001,0,0,1,1,0,0,{\color{teal}\faCheckCircleO}
$\uparrow$,1,1111,0010,0001,1,1,1110,0010,0,0,1,1,0,0,{\color{teal}\faCheckCircleO}
$\uparrow$,1,1111,0010,0001,1,1,1110,0011,0,0,1,1,0,0,{\color{teal}\faCheckCircleO}
$\uparrow$,1,1111,0010,0001,1,1,1110,0100,0,0,1,1,0,0,{\color{teal}\faCheckCircleO}
$\uparrow$,1,1111,0010,0001,1,1,1110,0101,0,0,1,1,0,0,{\color{teal}\faCheckCircleO}
$\uparrow$,1,1111,0010,0001,1,1,1110,0110,0,0,1,1,0,0,{\color{teal}\faCheckCircleO}
$\uparrow$,1,1111,0010,0001,1,1,1110,0111,0,0,1,1,0,0,{\color{teal}\faCheckCircleO}
$\uparrow$,1,1111,0010,0001,1,1,1110,1000,0,0,1,1,0,0,{\color{teal}\faCheckCircleO}
$\uparrow$,1,1111,0010,0001,1,1,1110,1001,0,0,1,1,0,0,{\color{teal}\faCheckCircleO}
$\uparrow$,1,1111,0010,0001,1,1,1110,1010,0,0,1,1,0,0,{\color{teal}\faCheckCircleO}
$\uparrow$,1,1111,0010,0001,1,1,1110,1011,0,0,1,1,0,0,{\color{teal}\faCheckCircleO}
$\uparrow$,1,1111,0010,0001,1,1,1110,1100,0,0,1,1,0,0,{\color{teal}\faCheckCircleO}
$\uparrow$,1,1111,0010,0001,1,1,1110,1101,0,0,1,1,0,0,{\color{teal}\faCheckCircleO}
$\uparrow$,1,1111,0010,0001,1,1,1110,1110,0,0,1,1,0,0,{\color{teal}\faCheckCircleO}
$\uparrow$,1,1111,0010,0001,0,0,1110,1111,0,0,1,1,0,0,{\color{teal}\faCheckCircleO}

$\uparrow$,1,1111,0010,0001,1,1,1111,1110,0,1,0,1,0,0,{\color{teal}\faCheckCircleO}
$\uparrow$,1,1111,0010,0001,0,0,1111,1111,0,1,0,1,0,0,{\color{teal}\faCheckCircleO}

$\uparrow$,1,1111,0010,0001,0,0,0001,1111,1,0,0,1,0,0,{\color{teal}\faCheckCircleO}

$\uparrow$,1,1111,0010,0001,1,0,0001,0000,1,0,0,0,0,1,{\color{teal}\faCheckCircleO}
$\uparrow$,1,1111,0010,0001,1,1,1110,0001,1,0,0,0,0,1,{\color{teal}\faCheckCircleO}
$\uparrow$,1,1111,0010,0001,1,1,1110,0010,1,0,0,0,0,1,{\color{teal}\faCheckCircleO}
$\uparrow$,1,1111,0010,0001,1,1,1110,0011,1,0,0,0,0,1,{\color{teal}\faCheckCircleO}
$\uparrow$,1,1111,0010,0001,1,1,1110,0100,1,0,0,0,0,1,{\color{teal}\faCheckCircleO}
$\uparrow$,1,1111,0010,0001,1,1,1110,0101,1,0,0,0,0,1,{\color{teal}\faCheckCircleO}
$\uparrow$,1,1111,0010,0001,1,1,1110,0110,1,0,0,0,0,1,{\color{teal}\faCheckCircleO}
$\uparrow$,1,1111,0010,0001,1,1,1110,0111,1,0,0,0,0,1,{\color{teal}\faCheckCircleO}
$\uparrow$,1,1111,0010,0001,1,1,1110,1000,1,0,0,0,0,1,{\color{teal}\faCheckCircleO}
$\uparrow$,1,1111,0010,0001,1,1,1110,1001,1,0,0,0,0,1,{\color{teal}\faCheckCircleO}
$\uparrow$,1,1111,0010,0001,1,1,1110,1010,1,0,0,0,0,1,{\color{teal}\faCheckCircleO}
$\uparrow$,1,1111,0010,0001,1,1,1110,1011,1,0,0,0,0,1,{\color{teal}\faCheckCircleO}
$\uparrow$,1,1111,0010,0001,1,1,1110,1100,1,0,0,0,0,1,{\color{teal}\faCheckCircleO}
$\uparrow$,1,1111,0010,0001,1,1,1110,1101,1,0,0,0,0,1,{\color{teal}\faCheckCircleO}
$\uparrow$,1,1111,0010,0001,1,1,1110,1110,1,0,0,0,0,1,{\color{teal}\faCheckCircleO}
$\uparrow$,1,1111,0010,0001,0,0,1110,1111,1,0,0,0,0,1,{\color{teal}\faCheckCircleO}

$\uparrow$,1,1111,0010,0001,1,1,1111,1110,1,0,0,0,1,0,{\color{teal}\faCheckCircleO}
$\uparrow$,1,1111,0010,0001,0,0,1111,1111,1,0,0,0,1,0,{\color{teal}\faCheckCircleO}

$\uparrow$,1,1111,0010,0001,0,0,0001,1111,1,0,0,1,0,0,{\color{teal}\faCheckCircleO}

$\uparrow$,0,1111,0010,0001,$\times$,0,0001,$\times$,0,0,0,0,0,0,{\color{teal}\faCheckCircleO}
