"Step","efb0_16-06_5h20m30s - val_loss","efb0_16-06_5h20m30s - val_loss__MIN","efb0_16-06_5h20m30s - val_loss__MAX","efb0_16-06_5h27m35s - val_loss","efb0_16-06_5h27m35s - val_loss__MIN","efb0_16-06_5h27m35s - val_loss__MAX","efb0_16-06_5h13m15s - val_loss","efb0_16-06_5h13m15s - val_loss__MIN","efb0_16-06_5h13m15s - val_loss__MAX","dn201_15-06_17h24m23s - val_loss","dn201_15-06_17h24m23s - val_loss__MIN","dn201_15-06_17h24m23s - val_loss__MAX","inception_16-06_0h26m42s - val_loss","inception_16-06_0h26m42s - val_loss__MIN","inception_16-06_0h26m42s - val_loss__MAX","inception_16-06_0h21m47s - val_loss","inception_16-06_0h21m47s - val_loss__MIN","inception_16-06_0h21m47s - val_loss__MAX","dn201_15-06_17h24m48s - val_loss","dn201_15-06_17h24m48s - val_loss__MIN","dn201_15-06_17h24m48s - val_loss__MAX","dn121_15-06_21h42m52s - val_loss","dn121_15-06_21h42m52s - val_loss__MIN","dn121_15-06_21h42m52s - val_loss__MAX","dn121_15-06_21h36m21s - val_loss","dn121_15-06_21h36m21s - val_loss__MIN","dn121_15-06_21h36m21s - val_loss__MAX","inception_16-06_0h23m15s - val_loss","inception_16-06_0h23m15s - val_loss__MIN","inception_16-06_0h23m15s - val_loss__MAX","dn121_15-06_21h35m20s - val_loss","dn121_15-06_21h35m20s - val_loss__MIN","dn121_15-06_21h35m20s - val_loss__MAX","dn201_15-06_17h24m29s - val_loss","dn201_15-06_17h24m29s - val_loss__MIN","dn201_15-06_17h24m29s - val_loss__MAX","rn50_16-06_3h25m15s - val_loss","rn50_16-06_3h25m15s - val_loss__MIN","rn50_16-06_3h25m15s - val_loss__MAX","rn50_16-06_3h17m45s - val_loss","rn50_16-06_3h17m45s - val_loss__MIN","rn50_16-06_3h17m45s - val_loss__MAX","rn50_16-06_3h11m3s - val_loss","rn50_16-06_3h11m3s - val_loss__MIN","rn50_16-06_3h11m3s - val_loss__MAX"
"0","0.5678533911705017","0.5678533911705017","0.5678533911705017","0.5791997909545898","0.5791997909545898","0.5791997909545898","0.5526335835456848","0.5526335835456848","0.5526335835456848","0.645762026309967","0.645762026309967","0.645762026309967","0.6488739848136902","0.6488739848136902","0.6488739848136902","0.6475576162338257","0.6475576162338257","0.6475576162338257","0.6392953395843506","0.6392953395843506","0.6392953395843506","0.6434093713760376","0.6434093713760376","0.6434093713760376","0.6642087697982788","0.6642087697982788","0.6642087697982788","0.6549649238586426","0.6549649238586426","0.6549649238586426","0.6532379984855652","0.6532379984855652","0.6532379984855652","0.6537401080131531","0.6537401080131531","0.6537401080131531","0.9537362456321716","0.9537362456321716","0.9537362456321716","0.6947230100631714","0.6947230100631714","0.6947230100631714","0.7190438508987427","0.7190438508987427","0.7190438508987427"
"1","0.5070027709007263","0.5070027709007263","0.5070027709007263","0.4518413245677948","0.4518413245677948","0.4518413245677948","0.48695921897888184","0.48695921897888184","0.48695921897888184","0.6726526021957397","0.6726526021957397","0.6726526021957397","0.5677110552787781","0.5677110552787781","0.5677110552787781","1.7877541780471802","1.7877541780471802","1.7877541780471802","0.6488104462623596","0.6488104462623596","0.6488104462623596","0.641701877117157","0.641701877117157","0.641701877117157","0.6490141153335571","0.6490141153335571","0.6490141153335571","0.5959869623184204","0.5959869623184204","0.5959869623184204","0.6568514704704285","0.6568514704704285","0.6568514704704285","0.6566367149353027","0.6566367149353027","0.6566367149353027","1.5102719068527222","1.5102719068527222","1.5102719068527222","10.690817832946777","10.690817832946777","10.690817832946777","1.4762208461761475","1.4762208461761475","1.4762208461761475"
"2","0.4595012366771698","0.4595012366771698","0.4595012366771698","0.3780456781387329","0.3780456781387329","0.3780456781387329","0.4319974482059479","0.4319974482059479","0.4319974482059479","0.6274049282073975","0.6274049282073975","0.6274049282073975","0.5668237209320068","0.5668237209320068","0.5668237209320068","0.7240239381790161","0.7240239381790161","0.7240239381790161","0.6537044644355774","0.6537044644355774","0.6537044644355774","0.6491253972053528","0.6491253972053528","0.6491253972053528","0.6337076425552368","0.6337076425552368","0.6337076425552368","0.5563033223152161","0.5563033223152161","0.5563033223152161","0.6637223362922668","0.6637223362922668","0.6637223362922668","0.6608999371528625","0.6608999371528625","0.6608999371528625","8.20507526397705","8.20507526397705","8.20507526397705","1.8767263889312744","1.8767263889312744","1.8767263889312744","10.896065711975098","10.896065711975098","10.896065711975098"
"3","0.37370550632476807","0.37370550632476807","0.37370550632476807","0.3238919675350189","0.3238919675350189","0.3238919675350189","0.3769025504589081","0.3769025504589081","0.3769025504589081","0.6602519750595093","0.6602519750595093","0.6602519750595093","0.5250571370124817","0.5250571370124817","0.5250571370124817","0.5130155086517334","0.5130155086517334","0.5130155086517334","0.6522505879402161","0.6522505879402161","0.6522505879402161","0.6368452310562134","0.6368452310562134","0.6368452310562134","0.6216868758201599","0.6216868758201599","0.6216868758201599","0.5982071161270142","0.5982071161270142","0.5982071161270142","0.6631758809089661","0.6631758809089661","0.6631758809089661","0.6605609655380249","0.6605609655380249","0.6605609655380249","10.285354614257812","10.285354614257812","10.285354614257812","3.047424554824829","3.047424554824829","3.047424554824829","12.96941089630127","12.96941089630127","12.96941089630127"
"4","0.3133683204650879","0.3133683204650879","0.3133683204650879","0.3135685324668884","0.3135685324668884","0.3135685324668884","0.3109827935695648","0.3109827935695648","0.3109827935695648","0.6736328601837158","0.6736328601837158","0.6736328601837158","0.49319496750831604","0.49319496750831604","0.49319496750831604","1.0548053979873657","1.0548053979873657","1.0548053979873657","0.6572976112365723","0.6572976112365723","0.6572976112365723","0.6580383777618408","0.6580383777618408","0.6580383777618408","0.6166538000106812","0.6166538000106812","0.6166538000106812","0.4923458397388458","0.4923458397388458","0.4923458397388458","0.6735983490943909","0.6735983490943909","0.6735983490943909","0.658161997795105","0.658161997795105","0.658161997795105","5.099417686462402","5.099417686462402","5.099417686462402","2.7042980194091797","2.7042980194091797","2.7042980194091797","9.965266227722168","9.965266227722168","9.965266227722168"
"5","0.28176966309547424","0.28176966309547424","0.28176966309547424","0.2912221848964691","0.2912221848964691","0.2912221848964691","0.26164594292640686","0.26164594292640686","0.26164594292640686","0.6517171859741211","0.6517171859741211","0.6517171859741211","0.5123840570449829","0.5123840570449829","0.5123840570449829","0.4228382706642151","0.4228382706642151","0.4228382706642151","0.6406097412109375","0.6406097412109375","0.6406097412109375","0.652314305305481","0.652314305305481","0.652314305305481","0.6415817141532898","0.6415817141532898","0.6415817141532898","0.4168890714645386","0.4168890714645386","0.4168890714645386","0.6701179146766663","0.6701179146766663","0.6701179146766663","0.6572450995445251","0.6572450995445251","0.6572450995445251","5.902850151062012","5.902850151062012","5.902850151062012","5.544528007507324","5.544528007507324","5.544528007507324","0.988395094871521","0.988395094871521","0.988395094871521"
"6","0.25202661752700806","0.25202661752700806","0.25202661752700806","0.26462599635124207","0.26462599635124207","0.26462599635124207","0.2511853873729706","0.2511853873729706","0.2511853873729706","0.6579437851905823","0.6579437851905823","0.6579437851905823","0.3870541453361511","0.3870541453361511","0.3870541453361511","0.7453975677490234","0.7453975677490234","0.7453975677490234","0.6572280526161194","0.6572280526161194","0.6572280526161194","0.6556978821754456","0.6556978821754456","0.6556978821754456","0.6412850618362427","0.6412850618362427","0.6412850618362427","0.5314510464668274","0.5314510464668274","0.5314510464668274","0.6494085192680359","0.6494085192680359","0.6494085192680359","0.6558513641357422","0.6558513641357422","0.6558513641357422","3.5168890953063965","3.5168890953063965","3.5168890953063965","7.987921237945557","7.987921237945557","7.987921237945557","6.1154069900512695","6.1154069900512695","6.1154069900512695"
"7","0.23685243725776672","0.23685243725776672","0.23685243725776672","0.23500856757164001","0.23500856757164001","0.23500856757164001","0.2297499179840088","0.2297499179840088","0.2297499179840088","0.65022873878479","0.65022873878479","0.65022873878479","0.44355952739715576","0.44355952739715576","0.44355952739715576","1.3333041667938232","1.3333041667938232","1.3333041667938232","0.6447847485542297","0.6447847485542297","0.6447847485542297","0.645187497138977","0.645187497138977","0.645187497138977","0.6050969958305359","0.6050969958305359","0.6050969958305359","0.9340193867683411","0.9340193867683411","0.9340193867683411","0.6536120176315308","0.6536120176315308","0.6536120176315308","0.658469021320343","0.658469021320343","0.658469021320343","4.470678329467773","4.470678329467773","4.470678329467773","5.961150646209717","5.961150646209717","5.961150646209717","6.074447154998779","6.074447154998779","6.074447154998779"
"8","0.26417747139930725","0.26417747139930725","0.26417747139930725","0.24749436974525452","0.24749436974525452","0.24749436974525452","0.2518553137779236","0.2518553137779236","0.2518553137779236","0.6511134505271912","0.6511134505271912","0.6511134505271912","0.4078248143196106","0.4078248143196106","0.4078248143196106","0.5876992344856262","0.5876992344856262","0.5876992344856262","0.6431871056556702","0.6431871056556702","0.6431871056556702","0.6606407761573792","0.6606407761573792","0.6606407761573792","0.5836932063102722","0.5836932063102722","0.5836932063102722","0.4440632164478302","0.4440632164478302","0.4440632164478302","0.6652936339378357","0.6652936339378357","0.6652936339378357","0.6599790453910828","0.6599790453910828","0.6599790453910828","8.76633358001709","8.76633358001709","8.76633358001709","7.155681610107422","7.155681610107422","7.155681610107422","8.718405723571777","8.718405723571777","8.718405723571777"
"9","0.20829950273036957","0.20829950273036957","0.20829950273036957","0.21315571665763855","0.21315571665763855","0.21315571665763855","0.21076013147830963","0.21076013147830963","0.21076013147830963","0.6726252436637878","0.6726252436637878","0.6726252436637878","0.40050172805786133","0.40050172805786133","0.40050172805786133","0.37119850516319275","0.37119850516319275","0.37119850516319275","0.6468664407730103","0.6468664407730103","0.6468664407730103","0.6499677300453186","0.6499677300453186","0.6499677300453186","0.5822194814682007","0.5822194814682007","0.5822194814682007","0.5334489345550537","0.5334489345550537","0.5334489345550537","0.6579102277755737","0.6579102277755737","0.6579102277755737","0.6540245413780212","0.6540245413780212","0.6540245413780212","4.250924587249756","4.250924587249756","4.250924587249756","7.530591011047363","7.530591011047363","7.530591011047363","17.60548973083496","17.60548973083496","17.60548973083496"
