"Step","efb0_15-06_8h24m46s - val_ACC","efb0_15-06_8h24m46s - val_ACC__MIN","efb0_15-06_8h24m46s - val_ACC__MAX","efb0_14-06_22h24m5s - val_ACC","efb0_14-06_22h24m5s - val_ACC__MIN","efb0_14-06_22h24m5s - val_ACC__MAX","efb0_14-06_22h21m14s - val_ACC","efb0_14-06_22h21m14s - val_ACC__MIN","efb0_14-06_22h21m14s - val_ACC__MAX","efb0_14-06_22h33m3s - val_ACC","efb0_14-06_22h33m3s - val_ACC__MIN","efb0_14-06_22h33m3s - val_ACC__MAX","efb0_15-06_8h29m23s - val_ACC","efb0_15-06_8h29m23s - val_ACC__MIN","efb0_15-06_8h29m23s - val_ACC__MAX","efb0_14-06_22h35m15s - val_ACC","efb0_14-06_22h35m15s - val_ACC__MIN","efb0_14-06_22h35m15s - val_ACC__MAX","efb0_14-06_22h40m50s - val_ACC","efb0_14-06_22h40m50s - val_ACC__MIN","efb0_14-06_22h40m50s - val_ACC__MAX","dn201_14-06_13h14m46s - val_ACC","dn201_14-06_13h14m46s - val_ACC__MIN","dn201_14-06_13h14m46s - val_ACC__MAX","dn201_14-06_13h18m7s - val_ACC","dn201_14-06_13h18m7s - val_ACC__MIN","dn201_14-06_13h18m7s - val_ACC__MAX","dn201_14-06_13h19m58s - val_ACC","dn201_14-06_13h19m58s - val_ACC__MIN","dn201_14-06_13h19m58s - val_ACC__MAX","dn201_14-06_13h11m36s - val_ACC","dn201_14-06_13h11m36s - val_ACC__MIN","dn201_14-06_13h11m36s - val_ACC__MAX","dn201_14-06_13h17m53s - val_ACC","dn201_14-06_13h17m53s - val_ACC__MIN","dn201_14-06_13h17m53s - val_ACC__MAX","inception_14-06_19h1m2s - val_ACC","inception_14-06_19h1m2s - val_ACC__MIN","inception_14-06_19h1m2s - val_ACC__MAX","inception_14-06_18h53m23s - val_ACC","inception_14-06_18h53m23s - val_ACC__MIN","inception_14-06_18h53m23s - val_ACC__MAX","inception_14-06_18h48m47s - val_ACC","inception_14-06_18h48m47s - val_ACC__MIN","inception_14-06_18h48m47s - val_ACC__MAX","model_14-06_13h18m58s - val_ACC","model_14-06_13h18m58s - val_ACC__MIN","model_14-06_13h18m58s - val_ACC__MAX","inception_14-06_18h47m47s - val_ACC","inception_14-06_18h47m47s - val_ACC__MIN","inception_14-06_18h47m47s - val_ACC__MAX","inception_14-06_18h47m32s - val_ACC","inception_14-06_18h47m32s - val_ACC__MIN","inception_14-06_18h47m32s - val_ACC__MAX","model_14-06_13h19m30s - val_ACC","model_14-06_13h19m30s - val_ACC__MIN","model_14-06_13h19m30s - val_ACC__MAX","inception_14-06_18h49m41s - val_ACC","inception_14-06_18h49m41s - val_ACC__MIN","inception_14-06_18h49m41s - val_ACC__MAX","inception_14-06_18h50m49s - val_ACC","inception_14-06_18h50m49s - val_ACC__MIN","inception_14-06_18h50m49s - val_ACC__MAX","dn121_14-06_18h56m40s - val_ACC","dn121_14-06_18h56m40s - val_ACC__MIN","dn121_14-06_18h56m40s - val_ACC__MAX","rn50_14-06_20h40m57s - val_ACC","rn50_14-06_20h40m57s - val_ACC__MIN","rn50_14-06_20h40m57s - val_ACC__MAX","rn50_14-06_20h42m45s - val_ACC","rn50_14-06_20h42m45s - val_ACC__MIN","rn50_14-06_20h42m45s - val_ACC__MAX","rn50_14-06_20h41m37s - val_ACC","rn50_14-06_20h41m37s - val_ACC__MIN","rn50_14-06_20h41m37s - val_ACC__MAX","rn50_14-06_20h46m45s - val_ACC","rn50_14-06_20h46m45s - val_ACC__MIN","rn50_14-06_20h46m45s - val_ACC__MAX","rn50_14-06_20h57m33s - val_ACC","rn50_14-06_20h57m33s - val_ACC__MIN","rn50_14-06_20h57m33s - val_ACC__MAX","rn50_14-06_20h46m36s - val_ACC","rn50_14-06_20h46m36s - val_ACC__MIN","rn50_14-06_20h46m36s - val_ACC__MAX"
"0","0.9606793522834778","0.9606793522834778","0.9606793522834778","0.9573564529418945","0.9573564529418945","0.9573564529418945","0.9518183469772339","0.9518183469772339","0.9518183469772339","0.9294812679290771","0.9294812679290771","0.9294812679290771","0.944618821144104","0.944618821144104","0.944618821144104","0.9311426877975464","0.9311426877975464","0.9311426877975464","0.9388960599899292","0.9388960599899292","0.9388960599899292","0.8266568183898926","0.8266568183898926","0.8266568183898926","0.8325641751289368","0.8325641751289368","0.8325641751289368","0.7038951516151428","0.7038951516151428","0.7038951516151428","0.6409451961517334","0.6409451961517334","0.6409451961517334","0.699833869934082","0.699833869934082","0.699833869934082","0.8657928705215454","0.8657928705215454","0.8657928705215454","0.7670297026634216","0.7670297026634216","0.7670297026634216","0.8273952603340149","0.8273952603340149","0.8273952603340149","0.826841413974762","0.826841413974762","0.826841413974762","0.8314565420150757","0.8314565420150757","0.8314565420150757","0.8491784930229187","0.8491784930229187","0.8491784930229187","0.7980431914329529","0.7980431914329529","0.7980431914329529","0.8035812973976135","0.8035812973976135","0.8035812973976135","0.7692449688911438","0.7692449688911438","0.7692449688911438","0.834225594997406","0.834225594997406","0.834225594997406","0.9040058851242065","0.9040058851242065","0.9040058851242065","0.8397637009620667","0.8397637009620667","0.8397637009620667","0.8748384714126587","0.8748384714126587","0.8748384714126587","0.8685619235038757","0.8685619235038757","0.8685619235038757","0.8469632863998413","0.8469632863998413","0.8469632863998413","0.674173891544342","0.674173891544342","0.674173891544342"
"1","0.9715709686279297","0.9715709686279297","0.9715709686279297","0.9756322503089905","0.9756322503089905","0.9756322503089905","0.9726786017417908","0.9726786017417908","0.9726786017417908","0.9688019156455994","0.9688019156455994","0.9688019156455994","0.9747092723846436","0.9747092723846436","0.9747092723846436","0.9710171818733215","0.9710171818733215","0.9710171818733215","0.9700941443443298","0.9700941443443298","0.9700941443443298","0.912682294845581","0.912682294845581","0.912682294845581","0.8997600078582764","0.8997600078582764","0.8997600078582764","0.8100424408912659","0.8100424408912659","0.8100424408912659","0.9106516242027283","0.9106516242027283","0.9106516242027283","0.871330976486206","0.871330976486206","0.871330976486206","0.8478862643241882","0.8478862643241882","0.8478862643241882","0.8358870148658752","0.8358870148658752","0.8358870148658752","0.8920066356658936","0.8920066356658936","0.8920066356658936","0.649067759513855","0.649067759513855","0.649067759513855","0.8072733879089355","0.8072733879089355","0.8072733879089355","0.7461694478988647","0.7461694478988647","0.7461694478988647","0.8744692802429199","0.8744692802429199","0.8744692802429199","0.8414251208305359","0.8414251208305359","0.8414251208305359","0.5541812777519226","0.5541812777519226","0.5541812777519226","0.8864685297012329","0.8864685297012329","0.8864685297012329","0.5674727559089661","0.5674727559089661","0.5674727559089661","0.8288720846176147","0.8288720846176147","0.8288720846176147","0.8430866003036499","0.8430866003036499","0.8430866003036499","0.8645006418228149","0.8645006418228149","0.8645006418228149","0.6318995952606201","0.6318995952606201","0.6318995952606201","0.6165774464607239","0.6165774464607239","0.6165774464607239"
"2","0.9795089364051819","0.9795089364051819","0.9795089364051819","0.9795089364051819","0.9795089364051819","0.9795089364051819","0.9796935319900513","0.9796935319900513","0.9796935319900513","0.9793243408203125","0.9793243408203125","0.9793243408203125","0.9800627827644348","0.9800627827644348","0.9800627827644348","0.9758168458938599","0.9758168458938599","0.9758168458938599","0.9750784635543823","0.9750784635543823","0.9750784635543823","0.9263430237770081","0.9263430237770081","0.9263430237770081","0.8973601460456848","0.8973601460456848","0.8973601460456848","0.8571164608001709","0.8571164608001709","0.8571164608001709","0.9023444652557373","0.9023444652557373","0.9023444652557373","0.8899760246276855","0.8899760246276855","0.8899760246276855","0.7744138836860657","0.7744138836860657","0.7744138836860657","0.9075133800506592","0.9075133800506592","0.9075133800506592","0.8144729733467102","0.8144729733467102","0.8144729733467102","0.870223343372345","0.870223343372345","0.870223343372345","0.9054827690124512","0.9054827690124512","0.9054827690124512","0.8475170731544495","0.8475170731544495","0.8475170731544495","0.7830902934074402","0.7830902934074402","0.7830902934074402","0.8711463809013367","0.8711463809013367","0.8711463809013367","0.808565616607666","0.808565616607666","0.808565616607666","0.8669005036354065","0.8669005036354065","0.8669005036354065","0.7847517132759094","0.7847517132759094","0.7847517132759094","0.8449326157569885","0.8449326157569885","0.8449326157569885","0.6450064778327942","0.6450064778327942","0.6450064778327942","0.6283921003341675","0.6283921003341675","0.6283921003341675","0.6387299299240112","0.6387299299240112","0.6387299299240112","0.7225401401519775","0.7225401401519775","0.7225401401519775"
"3","0.9850471019744873","0.9850471019744873","0.9850471019744873","0.9839394688606262","0.9839394688606262","0.9839394688606262","0.9839394688606262","0.9839394688606262","0.9839394688606262","0.981724202632904","0.981724202632904","0.981724202632904","0.9846778512001038","0.9846778512001038","0.9846778512001038","0.9826472401618958","0.9826472401618958","0.9826472401618958","0.9828318357467651","0.9828318357467651","0.9828318357467651","0.871884822845459","0.871884822845459","0.871884822845459","0.9171127676963806","0.9171127676963806","0.9171127676963806","0.9185896515846252","0.9185896515846252","0.9185896515846252","0.921543300151825","0.921543300151825","0.921543300151825","0.938342273235321","0.938342273235321","0.938342273235321","0.8384714722633362","0.8384714722633362","0.8384714722633362","0.8966217637062073","0.8966217637062073","0.8966217637062073","0.9091747999191284","0.9091747999191284","0.9091747999191284","0.865608274936676","0.865608274936676","0.865608274936676","0.8792689442634583","0.8792689442634583","0.8792689442634583","0.8081964254379272","0.8081964254379272","0.8081964254379272","0.918958842754364","0.918958842754364","0.918958842754364","0.8652390837669373","0.8652390837669373","0.8652390837669373","0.7694295644760132","0.7694295644760132","0.7694295644760132","0.912682294845581","0.912682294845581","0.912682294845581","0.6162082552909851","0.6162082552909851","0.6162082552909851","0.7266014218330383","0.7266014218330383","0.7266014218330383","0.8093040585517883","0.8093040585517883","0.8093040585517883","0.8008122444152832","0.8008122444152832","0.8008122444152832","0.5953480005264282","0.5953480005264282","0.5953480005264282","0.526675283908844","0.526675283908844","0.526675283908844"
"4","0.9868931174278259","0.9868931174278259","0.9868931174278259","0.9852316975593567","0.9852316975593567","0.9852316975593567","0.9848624467849731","0.9848624467849731","0.9848624467849731","0.9850471019744873","0.9850471019744873","0.9850471019744873","0.9872623085975647","0.9872623085975647","0.9872623085975647","0.9841240644454956","0.9841240644454956","0.9841240644454956","0.9830164313316345","0.9830164313316345","0.9830164313316345","0.9165589809417725","0.9165589809417725","0.9165589809417725","0.9425881505012512","0.9425881505012512","0.9425881505012512","0.9298504590988159","0.9298504590988159","0.9298504590988159","0.8000738620758057","0.8000738620758057","0.8000738620758057","0.9481262564659119","0.9481262564659119","0.9481262564659119","0.9265276193618774","0.9265276193618774","0.9265276193618774","0.9232047200202942","0.9232047200202942","0.9232047200202942","0.9121285080909729","0.9121285080909729","0.9121285080909729","0.9193280339241028","0.9193280339241028","0.9193280339241028","0.9084364175796509","0.9084364175796509","0.9084364175796509","0.887576162815094","0.887576162815094","0.887576162815094","0.6911574602127075","0.6911574602127075","0.6911574602127075","0.8777921199798584","0.8777921199798584","0.8777921199798584","0.8659774661064148","0.8659774661064148","0.8659774661064148","0.9082518219947815","0.9082518219947815","0.9082518219947815","0.6411297917366028","0.6411297917366028","0.6411297917366028","0.8504707217216492","0.8504707217216492","0.8504707217216492","0.5285212993621826","0.5285212993621826","0.5285212993621826","0.7310319542884827","0.7310319542884827","0.7310319542884827","0.6546058654785156","0.6546058654785156","0.6546058654785156","0.4476647675037384","0.4476647675037384","0.4476647675037384"
"5","0.9835702180862427","0.9835702180862427","0.9835702180862427","0.9874469041824341","0.9874469041824341","0.9874469041824341","0.9835702180862427","0.9835702180862427","0.9835702180862427","0.9844932556152344","0.9844932556152344","0.9844932556152344","0.9856008887290955","0.9856008887290955","0.9856008887290955","0.9865239262580872","0.9865239262580872","0.9865239262580872","0.9837548732757568","0.9837548732757568","0.9837548732757568","0.8855454921722412","0.8855454921722412","0.8855454921722412","0.9370500445365906","0.9370500445365906","0.9370500445365906","0.9324349164962769","0.9324349164962769","0.9324349164962769","0.8569318652153015","0.8569318652153015","0.8569318652153015","0.93723464012146","0.93723464012146","0.93723464012146","0.9156359434127808","0.9156359434127808","0.9156359434127808","0.939265251159668","0.939265251159668","0.939265251159668","0.9276351928710938","0.9276351928710938","0.9276351928710938","0.9267122149467468","0.9267122149467468","0.9267122149467468","0.8453018069267273","0.8453018069267273","0.8453018069267273","0.8940373063087463","0.8940373063087463","0.8940373063087463","0.9460956454277039","0.9460956454277039","0.9460956454277039","0.7435849905014038","0.7435849905014038","0.7435849905014038","0.8608085513114929","0.8608085513114929","0.8608085513114929","0.9082518219947815","0.9082518219947815","0.9082518219947815","0.4803396761417389","0.4803396761417389","0.4803396761417389","0.6870961785316467","0.6870961785316467","0.6870961785316467","0.706110417842865","0.706110417842865","0.706110417842865","0.6405759453773499","0.6405759453773499","0.6405759453773499","0.5152298212051392","0.5152298212051392","0.5152298212051392","0.6586671471595764","0.6586671471595764","0.6586671471595764"
"6","0.9839394688606262","0.9839394688606262","0.9839394688606262","0.9883699417114258","0.9883699417114258","0.9883699417114258","0.9835702180862427","0.9835702180862427","0.9835702180862427","0.9861546754837036","0.9861546754837036","0.9861546754837036","0.9876315593719482","0.9876315593719482","0.9876315593719482","0.9867085218429565","0.9867085218429565","0.9867085218429565","0.9856008887290955","0.9856008887290955","0.9856008887290955","0.9254199862480164","0.9254199862480164","0.9254199862480164","0.9357578158378601","0.9357578158378601","0.9357578158378601","0.9148975610733032","0.9148975610733032","0.9148975610733032","0.9006830453872681","0.9006830453872681","0.9006830453872681","0.8360716104507446","0.8360716104507446","0.8360716104507446","0.939265251159668","0.939265251159668","0.939265251159668","0.939265251159668","0.939265251159668","0.939265251159668","0.8458556532859802","0.8458556532859802","0.8458556532859802","0.927266001701355","0.927266001701355","0.927266001701355","0.9250507950782776","0.9250507950782776","0.9250507950782776","0.9224663376808167","0.9224663376808167","0.9224663376808167","0.9381576776504517","0.9381576776504517","0.9381576776504517","0.9049289226531982","0.9049289226531982","0.9049289226531982","0.8220417499542236","0.8220417499542236","0.8220417499542236","0.8956987261772156","0.8956987261772156","0.8956987261772156","0.5623038411140442","0.5623038411140442","0.5623038411140442","0.6215617656707764","0.6215617656707764","0.6215617656707764","0.8641314506530762","0.8641314506530762","0.8641314506530762","0.8652390837669373","0.8652390837669373","0.8652390837669373","0.5927635431289673","0.5927635431289673","0.5927635431289673","0.6913420557975769","0.6913420557975769","0.6913420557975769"
"7","0.9868931174278259","0.9868931174278259","0.9868931174278259","0.9885545372962952","0.9885545372962952","0.9885545372962952","0.9846778512001038","0.9846778512001038","0.9846778512001038","0.988000750541687","0.988000750541687","0.988000750541687","0.9898467659950256","0.9898467659950256","0.9898467659950256","0.9885545372962952","0.9885545372962952","0.9885545372962952","0.9867085218429565","0.9867085218429565","0.9867085218429565","0.8820380568504333","0.8820380568504333","0.8820380568504333","0.9030829071998596","0.9030829071998596","0.9030829071998596","0.9350193738937378","0.9350193738937378","0.9350193738937378","0.9016060829162598","0.9016060829162598","0.9016060829162598","0.8742846846580505","0.8742846846580505","0.8742846846580505","0.9296658635139465","0.9296658635139465","0.9296658635139465","0.9025290608406067","0.9025290608406067","0.9025290608406067","0.9233893156051636","0.9233893156051636","0.9233893156051636","0.9006830453872681","0.9006830453872681","0.9006830453872681","0.9377884268760681","0.9377884268760681","0.9377884268760681","0.9030829071998596","0.9030829071998596","0.9030829071998596","0.8886837959289551","0.8886837959289551","0.8886837959289551","0.9265276193618774","0.9265276193618774","0.9265276193618774","0.8309026956558228","0.8309026956558228","0.8309026956558228","0.9076979756355286","0.9076979756355286","0.9076979756355286","0.563780665397644","0.563780665397644","0.563780665397644","0.6080856323242188","0.6080856323242188","0.6080856323242188","0.8214879035949707","0.8214879035949707","0.8214879035949707","0.8115192651748657","0.8115192651748657","0.8115192651748657","0.6859885454177856","0.6859885454177856","0.6859885454177856","0.8336717486381531","0.8336717486381531","0.8336717486381531"
"8","0.9835702180862427","0.9835702180862427","0.9835702180862427","0.991692841053009","0.991692841053009","0.991692841053009","0.9867085218429565","0.9867085218429565","0.9867085218429565","0.9795089364051819","0.9795089364051819","0.9795089364051819","0.9889237880706787","0.9889237880706787","0.9889237880706787","0.9885545372962952","0.9885545372962952","0.9885545372962952","0.9881853461265564","0.9881853461265564","0.9881853461265564","0.9398190975189209","0.9398190975189209","0.9398190975189209","0.9379730224609375","0.9379730224609375","0.9379730224609375","0.8899760246276855","0.8899760246276855","0.8899760246276855","0.8951449394226074","0.8951449394226074","0.8951449394226074","0.9449880123138428","0.9449880123138428","0.9449880123138428","0.9455417990684509","0.9455417990684509","0.9455417990684509","0.9001291990280151","0.9001291990280151","0.9001291990280151","0.8964371681213379","0.8964371681213379","0.8964371681213379","0.9361270070075989","0.9361270070075989","0.9361270070075989","0.9377884268760681","0.9377884268760681","0.9377884268760681","0.9075133800506592","0.9075133800506592","0.9075133800506592","0.9080671668052673","0.9080671668052673","0.9080671668052673","0.9396345019340515","0.9396345019340515","0.9396345019340515","0.8181650638580322","0.8181650638580322","0.8181650638580322","0.9220970869064331","0.9220970869064331","0.9220970869064331","0.6640206575393677","0.6640206575393677","0.6640206575393677","0.8645006418228149","0.8645006418228149","0.8645006418228149","0.842532753944397","0.842532753944397","0.842532753944397","0.426250696182251","0.426250696182251","0.426250696182251","0.5726416707038879","0.5726416707038879","0.5726416707038879","0.48292413353919983","0.48292413353919983","0.48292413353919983"
"9","0.9861546754837036","0.9861546754837036","0.9861546754837036","0.9902159571647644","0.9902159571647644","0.9902159571647644","0.988000750541687","0.988000750541687","0.988000750541687","0.9904006123542786","0.9904006123542786","0.9904006123542786","0.9881853461265564","0.9881853461265564","0.9881853461265564","0.9902159571647644","0.9902159571647644","0.9902159571647644","0.9892929792404175","0.9892929792404175","0.9892929792404175","0.7978585958480835","0.7978585958480835","0.7978585958480835","0.893298864364624","0.893298864364624","0.893298864364624","0.93723464012146","0.93723464012146","0.93723464012146","0.9274505972862244","0.9274505972862244","0.9274505972862244","0.9112054705619812","0.9112054705619812","0.9112054705619812","0.8785305619239807","0.8785305619239807","0.8785305619239807","0.9424035549163818","0.9424035549163818","0.9424035549163818","0.9104670286178589","0.9104670286178589","0.9104670286178589","0.9302196502685547","0.9302196502685547","0.9302196502685547","0.9436957836151123","0.9436957836151123","0.9436957836151123","0.9486801028251648","0.9486801028251648","0.9486801028251648","0.8842532634735107","0.8842532634735107","0.8842532634735107","0.9368654489517212","0.9368654489517212","0.9368654489517212","0.7958279252052307","0.7958279252052307","0.7958279252052307","0.9424035549163818","0.9424035549163818","0.9424035549163818","0.6859885454177856","0.6859885454177856","0.6859885454177856","0.9051135182380676","0.9051135182380676","0.9051135182380676","0.7476462721824646","0.7476462721824646","0.7476462721824646","0.6619900465011597","0.6619900465011597","0.6619900465011597","0.5879638195037842","0.5879638195037842","0.5879638195037842","0.6008861064910889","0.6008861064910889","0.6008861064910889"
